gameserver,type,key,value
bb2server,Parameter,emailfrom,""
bb2server,Parameter,engine,"source"
bb2server,Parameter,executabledir,"${serverfiles}"
bb2server,Parameter,executable,"./srcds_run"
bb2server,Parameter,gamelogdir,"${systemdir}/logs"
bb2server,Parameter,gamename,"BrainBread 2"
bb2server,Parameter,glibc,"2.17"
bb2server,Parameter,gslt,""
bb2server,Parameter,iftttalert,"off"
bb2server,Parameter,iftttevent,"linuxgsm_alert"
bb2server,Parameter,ifttttoken,"accesstoken"
bb2server,Parameter,ip,"0.0.0.0"
bb2server,Parameter,lgsmlogdate,"${lgsmlogdir}/${servicename}-script-$(date '+%Y-%m-%d-%H:%M:%S').log"
bb2server,Parameter,lgsmlogdir,"${logdir}/script"
bb2server,Parameter,lgsmlog,"${lgsmlogdir}/${servicename}-script.log"
bb2server,Parameter,logdays,"7"
bb2server,Parameter,logdir,"${rootdir}/log"
bb2server,Parameter,mailgunalert,"off"
bb2server,Parameter,mailgundomain,"example.com"
bb2server,Parameter,mailgunemail,"email@myemail.com"
bb2server,Parameter,mailgunemailfrom,"alert@example.com"
bb2server,Parameter,mailguntoken,"accesstoken"
bb2server,Parameter,maxbackupdays,"30"
bb2server,Parameter,maxbackups,"4"
bb2server,Parameter,maxplayers,"20"
bb2server,Parameter,parms,"-game brainbread2 -strictportbind -ip ${ip} -port ${port} +clientport ${clientport} +tv_port ${sourcetvport} +sv_setsteamaccount ${gslt} +map ${defaultmap} +servercfgfile ${servercfg} -maxplayers ${maxplayers}"
bb2server,Parameter,port,"27015"
bb2server,Parameter,postalert,"off"
bb2server,Parameter,postdays,"7"
bb2server,Parameter,postdetailslog,"${lgsmlogdir}/${servicename}-postdetails.log"
bb2server,Parameter,posttarget,"https://hastebin.com"
bb2server,Parameter,pushbulletalert,"off"
bb2server,Parameter,pushbullettoken,"accesstoken"
bb2server,Parameter,pushoveralert,"off"
bb2server,Parameter,pushovertoken,"accesstoken"
bb2server,Parameter,querydelay,"1"
bb2server,Parameter,servercfgdefault,"server.cfg"
bb2server,Parameter,servercfgdir,"${systemdir}/cfg"
bb2server,Parameter,servercfgfullpath,"${servercfgdir}/${servercfg}"
bb2server,Parameter,servercfg,"${servicename}.cfg"
bb2server,Parameter,sleeptime,"0.5"
bb2server,Parameter,sourcetvport,"27020"
bb2server,Parameter,steammaster,"true"
bb2server,Parameter,stoponbackup,"on"
bb2server,Parameter,systemdir,"${serverfiles}/brainbread2"
bb2server,Parameter,telegramalert,"off"
bb2server,Parameter,telegramchatid,""
bb2server,Parameter,telegramtoken,"accesstoken"
bb2server,Parameter,updateonstart,"off"
bbserver,Function,fn_parms,
bbserver,Parameter,alertlog,"${lgsmlogdir}/${servicename}-alert.log"
bbserver,Parameter,ansi,"on"
bbserver,Parameter,appid,"90"
bbserver,Parameter,appidmod,"cstrike"
bbserver,Parameter,backupdir,"${rootdir}/backups"
bbserver,Parameter,branch,""
bbserver,Parameter,channeltag,""
bbserver,Parameter,clientport,"27005"
bbserver,Parameter,consolelog,"${consolelogdir}/${servicename}-console.log"
bbserver,Parameter,consolelogdate,"${consolelogdir}/${servicename}-console-$(date '+%Y-%m-%d-%H:%M:%S').log"
bbserver,Parameter,consolelogdir,"${logdir}/console"
bbserver,Parameter,consolelogging,"on"
bbserver,Parameter,curlcustomstring,""
bbserver,Parameter,defaultmap,"bb_chp4_slaywatch"
bbserver,Parameter,discordalert,"off"
bbserver,Parameter,discordwebhook,"webhook"
bbserver,Parameter,displayip,""
bbserver,Parameter,emailalert,"off"
bbserver,Parameter,email,"email@example.com"
bbserver,Parameter,emailfrom,""
bbserver,Parameter,engine,"goldsource"
bbserver,Parameter,executabledir,"${serverfiles}"
bbserver,Parameter,executable,"./hlds_run"
bbserver,Parameter,gamelogdir,"${systemdir}/logs"
bbserver,Parameter,gamename,"BrainBread"
bbserver,Parameter,glibc,"2.3.4"
bbserver,Parameter,iftttalert,"off"
bbserver,Parameter,iftttevent,"linuxgsm_alert"
bbserver,Parameter,ifttttoken,"accesstoken"
bbserver,Parameter,ip,"0.0.0.0"
bbserver,Parameter,lgsmlogdate,"${lgsmlogdir}/${servicename}-script-$(date '+%Y-%m-%d-%H:%M:%S').log"
bbserver,Parameter,lgsmlogdir,"${logdir}/script"
bbserver,Parameter,lgsmlog,"${lgsmlogdir}/${servicename}-script.log"
bbserver,Parameter,logdays,"7"
bbserver,Parameter,logdir,"${rootdir}/log"
bbserver,Parameter,mailgunalert,"off"
bbserver,Parameter,mailgundomain,"example.com"
bbserver,Parameter,mailgunemail,"email@myemail.com"
bbserver,Parameter,mailgunemailfrom,"alert@example.com"
bbserver,Parameter,mailguntoken,"accesstoken"
bbserver,Parameter,maxbackupdays,"30"
bbserver,Parameter,maxbackups,"4"
bbserver,Parameter,maxplayers,"16"
bbserver,Parameter,parms,"-game brainbread -strictportbind +ip ${ip} -port ${port} +clientport ${clientport} +map ${defaultmap} +servercfgfile ${servercfg} -maxplayers ${maxplayers}"
bbserver,Parameter,port,"27015"
bbserver,Parameter,postalert,"off"
bbserver,Parameter,postdays,"7"
bbserver,Parameter,postdetailslog,"${lgsmlogdir}/${servicename}-postdetails.log"
bbserver,Parameter,posttarget,"https://hastebin.com"
bbserver,Parameter,pushbulletalert,"off"
bbserver,Parameter,pushbullettoken,"accesstoken"
bbserver,Parameter,pushoveralert,"off"
bbserver,Parameter,pushovertoken,"accesstoken"
bbserver,Parameter,querydelay,"1"
bbserver,Parameter,servercfgdefault,"server.cfg"
bbserver,Parameter,servercfgdir,"${systemdir}"
bbserver,Parameter,servercfgfullpath,"${servercfgdir}/${servercfg}"
bbserver,Parameter,servercfg,"${servicename}.cfg"
bbserver,Parameter,sleeptime,"0.5"
bbserver,Parameter,steammaster,"false"
bbserver,Parameter,stoponbackup,"on"
bbserver,Parameter,systemdir,"${serverfiles}/brainbread"
bbserver,Parameter,telegramalert,"off"
bbserver,Parameter,telegramchatid,""
bbserver,Parameter,telegramtoken,"accesstoken"
bbserver,Parameter,updateonstart,"off"
bdserver,Function,fn_parms,
bdserver,Parameter,alertlog,"${lgsmlogdir}/${servicename}-alert.log"
bdserver,Parameter,ansi,"on"
bdserver,Parameter,appid,"817300"
bdserver,Parameter,backupdir,"${rootdir}/backups"
bdserver,Parameter,branch,""
bdserver,Parameter,channeltag,""
bdserver,Parameter,clientport,"27005"
bdserver,Parameter,consolelog,"${consolelogdir}/${servicename}-console.log"
bdserver,Parameter,consolelogdate,"${consolelogdir}/${servicename}-console-$(date '+%Y-%m-%d-%H:%M:%S').log"
bdserver,Parameter,consolelogdir,"${logdir}/console"
bdserver,Parameter,consolelogging,"on"
bdserver,Parameter,curlcustomstring,""
bdserver,Parameter,defaultmap,"pve_tomb"
bdserver,Parameter,discordalert,"off"
bdserver,Parameter,discordwebhook,"webhook"
bdserver,Parameter,displayip,""
bdserver,Parameter,emailalert,"off"
bdserver,Parameter,email,"email@example.com"
bdserver,Parameter,emailfrom,""
bdserver,Parameter,engine,"goldsource"
bdserver,Parameter,executabledir,"${serverfiles}"
bdserver,Parameter,executable,"./hlds_run"
bdserver,Parameter,gamelogdir,"${systemdir}/logs"
bdserver,Parameter,gamename,"Base Defense"
bdserver,Parameter,glibc,"2.14"
bdserver,Parameter,iftttalert,"off"
bdserver,Parameter,iftttevent,"linuxgsm_alert"
bdserver,Parameter,ifttttoken,"accesstoken"
bdserver,Parameter,ip,"0.0.0.0"
bdserver,Parameter,lgsmlogdate,"${lgsmlogdir}/${servicename}-script-$(date '+%Y-%m-%d-%H:%M:%S').log"
bdserver,Parameter,lgsmlogdir,"${logdir}/script"
bdserver,Parameter,lgsmlog,"${lgsmlogdir}/${servicename}-script.log"
bdserver,Parameter,logdays,"7"
bdserver,Parameter,logdir,"${rootdir}/log"
bdserver,Parameter,mailgunalert,"off"
bdserver,Parameter,mailgundomain,"example.com"
bdserver,Parameter,mailgunemail,"email@myemail.com"
bdserver,Parameter,mailgunemailfrom,"alert@example.com"
bdserver,Parameter,mailguntoken,"accesstoken"
bdserver,Parameter,maxbackupdays,"30"
bdserver,Parameter,maxbackups,"4"
bdserver,Parameter,maxplayers,"3"
bdserver,Parameter,parms,"-game bdef -strictportbind +ip ${ip} -port ${port} +clientport ${clientport} +map ${defaultmap} +servercfgfile ${servercfg} -maxplayers ${maxplayers}"
bdserver,Parameter,port,"27015"
bdserver,Parameter,postalert,"off"
bdserver,Parameter,postdays,"7"
bdserver,Parameter,postdetailslog,"${lgsmlogdir}/${servicename}-postdetails.log"
bdserver,Parameter,posttarget,"https://hastebin.com"
bdserver,Parameter,pushbulletalert,"off"
bdserver,Parameter,pushbullettoken,"accesstoken"
bdserver,Parameter,pushoveralert,"off"
bdserver,Parameter,pushovertoken,"accesstoken"
bdserver,Parameter,querydelay,"1"
bdserver,Parameter,servercfgdefault,"server.cfg"
bdserver,Parameter,servercfgdir,"${systemdir}"
bdserver,Parameter,servercfgfullpath,"${servercfgdir}/${servercfg}"
bdserver,Parameter,servercfg,"${servicename}.cfg"
bdserver,Parameter,sleeptime,"0.5"
bdserver,Parameter,steammaster,"true"
bdserver,Parameter,stoponbackup,"on"
bdserver,Parameter,systemdir,"${serverfiles}/bdef"
bdserver,Parameter,telegramalert,"off"
bdserver,Parameter,telegramchatid,""
bdserver,Parameter,telegramtoken,"accesstoken"
bdserver,Parameter,updateonstart,"off"
bf1942server,Function,fn_parms,
bf1942server,Parameter,alertlog,"${lgsmlogdir}/${servicename}-alert.log"
bf1942server,Parameter,ansi,"on"
bf1942server,Parameter,backupdir,"${rootdir}/backups"
bf1942server,Parameter,channeltag,""
bf1942server,Parameter,consolelog,"${consolelogdir}/${servicename}-console.log"
bf1942server,Parameter,consolelogdate,"${consolelogdir}/${servicename}-console-$(date '+%Y-%m-%d-%H:%M:%S').log"
bf1942server,Parameter,consolelogdir,"${logdir}/console"
bf1942server,Parameter,consolelogging,"on"
bf1942server,Parameter,curlcustomstring,""
bf1942server,Parameter,discordalert,"off"
bf1942server,Parameter,discordwebhook,"webhook"
bf1942server,Parameter,displayip,""
bf1942server,Parameter,emailalert,"off"
bf1942server,Parameter,email,"email@example.com"
bf1942server,Parameter,emailfrom,""
bf1942server,Parameter,engine,"refractor"
bf1942server,Parameter,executabledir,"${systemdir}"
bf1942server,Parameter,executable,"./start.sh"
bf1942server,Parameter,gamelogdir,"${serverfiles}/Logs"
bf1942server,Parameter,gamename,"Battlefield: 1942"
bf1942server,Parameter,glibc,"2.0"
bf1942server,Parameter,iftttalert,"off"
bf1942server,Parameter,iftttevent,"linuxgsm_alert"
bf1942server,Parameter,ifttttoken,"accesstoken"
bf1942server,Parameter,lgsmlogdate,"${lgsmlogdir}/${servicename}-script-$(date '+%Y-%m-%d-%H:%M:%S').log"
bf1942server,Parameter,lgsmlogdir,"${logdir}/script"
bf1942server,Parameter,lgsmlog,"${lgsmlogdir}/${servicename}-script.log"
bf1942server,Parameter,logdays,"7"
bf1942server,Parameter,logdir,"${rootdir}/log"
bf1942server,Parameter,mailgunalert,"off"
bf1942server,Parameter,mailgundomain,"example.com"
bf1942server,Parameter,mailgunemail,"email@myemail.com"
bf1942server,Parameter,mailgunemailfrom,"alert@example.com"
bf1942server,Parameter,mailguntoken,"accesstoken"
bf1942server,Parameter,maxbackupdays,"30"
bf1942server,Parameter,maxbackups,"4"
bf1942server,Parameter,parms,"+hostServer 1 +dedicated 1"
bf1942server,Parameter,postalert,"off"
bf1942server,Parameter,postdays,"7"
bf1942server,Parameter,postdetailslog,"${lgsmlogdir}/${servicename}-postdetails.log"
bf1942server,Parameter,posttarget,"https://hastebin.com"
bf1942server,Parameter,pushbulletalert,"off"
bf1942server,Parameter,pushbullettoken,"accesstoken"
bf1942server,Parameter,pushoveralert,"off"
bf1942server,Parameter,pushovertoken,"accesstoken"
bf1942server,Parameter,querydelay,"1"
bf1942server,Parameter,servercfgdefault,"serversettings.con"
bf1942server,Parameter,servercfgdir,"${systemdir}/mods/bf1942/settings"
bf1942server,Parameter,servercfgfullpath,"${servercfgdir}/${servercfg}"
bf1942server,Parameter,servercfg,"serversettings.con"
bf1942server,Parameter,sleeptime,"0.5"
bf1942server,Parameter,stoponbackup,"on"
bf1942server,Parameter,systemdir,"${serverfiles}"
bf1942server,Parameter,telegramalert,"off"
bf1942server,Parameter,telegramchatid,""
bf1942server,Parameter,telegramtoken,"accesstoken"
bf1942server,Parameter,updateonstart,"off"
bmdmserver,Function,fn_parms,
bmdmserver,Parameter,alertlog,"${lgsmlogdir}/${servicename}-alert.log"
bmdmserver,Parameter,ansi,"on"
bmdmserver,Parameter,appid,"346680"
bmdmserver,Parameter,backupdir,"${rootdir}/backups"
bmdmserver,Parameter,branch,""
bmdmserver,Parameter,channeltag,""
bmdmserver,Parameter,clientport,"27005"
bmdmserver,Parameter,consolelog,"${consolelogdir}/${servicename}-console.log"
bmdmserver,Parameter,consolelogdate,"${consolelogdir}/${servicename}-console-$(date '+%Y-%m-%d-%H:%M:%S').log"
bmdmserver,Parameter,consolelogdir,"${logdir}/console"
bmdmserver,Parameter,consolelogging,"on"
bmdmserver,Parameter,curlcustomstring,""
bmdmserver,Parameter,defaultmap,"dm_bounce"
bmdmserver,Parameter,discordalert,"off"
bmdmserver,Parameter,discordwebhook,"webhook"
bmdmserver,Parameter,displayip,""
bmdmserver,Parameter,emailalert,"off"
bmdmserver,Parameter,email,"email@example.com"
bmdmserver,Parameter,emailfrom,""
bmdmserver,Parameter,engine,"source"
bmdmserver,Parameter,executabledir,"${serverfiles}"
bmdmserver,Parameter,executable,"./srcds_run"
bmdmserver,Parameter,gamelogdir,"${systemdir}/logs"
bmdmserver,Parameter,gamename,"Black Mesa: Deathmatch"
bmdmserver,Parameter,glibc,"2.15"
bmdmserver,Parameter,gslt,""
bmdmserver,Parameter,iftttalert,"off"
bmdmserver,Parameter,iftttevent,"linuxgsm_alert"
bmdmserver,Parameter,ifttttoken,"accesstoken"
bmdmserver,Parameter,ip,"0.0.0.0"
bmdmserver,Parameter,lgsmlogdate,"${lgsmlogdir}/${servicename}-script-$(date '+%Y-%m-%d-%H:%M:%S').log"
bmdmserver,Parameter,lgsmlogdir,"${logdir}/script"
bmdmserver,Parameter,lgsmlog,"${lgsmlogdir}/${servicename}-script.log"
bmdmserver,Parameter,logdays,"7"
bmdmserver,Parameter,logdir,"${rootdir}/log"
bmdmserver,Parameter,mailgunalert,"off"
bmdmserver,Parameter,mailgundomain,"example.com"
bmdmserver,Parameter,mailgunemail,"email@myemail.com"
bmdmserver,Parameter,mailgunemailfrom,"alert@example.com"
bmdmserver,Parameter,mailguntoken,"accesstoken"
bmdmserver,Parameter,maxbackupdays,"30"
bmdmserver,Parameter,maxbackups,"4"
bmdmserver,Parameter,maxplayers,"16"
bmdmserver,Parameter,parms,"-game bms -strictportbind -ip ${ip} -port ${port} +clientport ${clientport} +tv_port ${sourcetvport} +sv_setsteamaccount ${gslt} +map ${defaultmap} +servercfgfile ${servercfg} -maxplayers ${maxplayers}"
bmdmserver,Parameter,port,"27015"
bmdmserver,Parameter,postalert,"off"
bmdmserver,Parameter,postdays,"7"
bmdmserver,Parameter,postdetailslog,"${lgsmlogdir}/${servicename}-postdetails.log"
bmdmserver,Parameter,posttarget,"https://hastebin.com"
bmdmserver,Parameter,pushbulletalert,"off"
bmdmserver,Parameter,pushbullettoken,"accesstoken"
bmdmserver,Parameter,pushoveralert,"off"
bmdmserver,Parameter,pushovertoken,"accesstoken"
bmdmserver,Parameter,querydelay,"1"
bmdmserver,Parameter,servercfgdefault,"server.cfg"
bmdmserver,Parameter,servercfgdir,"${systemdir}/cfg"
bmdmserver,Parameter,servercfgfullpath,"${servercfgdir}/${servercfg}"
bmdmserver,Parameter,servercfg,"${servicename}.cfg"
bmdmserver,Parameter,sleeptime,"0.5"
bmdmserver,Parameter,sourcetvport,"27020"
bmdmserver,Parameter,steammaster,"true"
bmdmserver,Parameter,stoponbackup,"on"
bmdmserver,Parameter,systemdir,"${serverfiles}/bms"
bmdmserver,Parameter,telegramalert,"off"
bmdmserver,Parameter,telegramchatid,""
bmdmserver,Parameter,telegramtoken,"accesstoken"
bmdmserver,Parameter,updateonstart,"off"
boserver,Function,fn_parms,
boserver,Parameter,alertlog,"${lgsmlogdir}/${servicename}-alert.log"
boserver,Parameter,ansi,"on"
boserver,Parameter,appid,"416880"
boserver,Parameter,backupdir,"${rootdir}/backups"
boserver,Parameter,branch,""
boserver,Parameter,channeltag,""
boserver,Parameter,consolelog,"${consolelogdir}/${servicename}-console.log"
boserver,Parameter,consolelogdate,"${consolelogdir}/${servicename}-console-$(date '+%Y-%m-%d-%H:%M:%S').log"
boserver,Parameter,consolelogdir,"${logdir}/console"
boserver,Parameter,consolelogging,"on"
boserver,Parameter,curlcustomstring,""
boserver,Parameter,discordalert,"off"
boserver,Parameter,discordwebhook,"webhook"
boserver,Parameter,displayip,""
boserver,Parameter,emailalert,"off"
boserver,Parameter,email,"email@example.com"
boserver,Parameter,emailfrom,""
boserver,Parameter,engine,"unity3d"
boserver,Parameter,executable,"./BODS.x86"
boserver,Parameter,executabledir,"${serverfiles}"
boserver,Parameter,gamelogdir,"${systemdir}/logs"
boserver,Parameter,gamename,"Ballistic Overkill"
boserver,Parameter,glibc,"2.15"
boserver,Parameter,gslt,""
boserver,Parameter,iftttalert,"off"
boserver,Parameter,iftttevent,"linuxgsm_alert"
boserver,Parameter,ifttttoken,"accesstoken"
boserver,Parameter,ip,""
boserver,Parameter,lgsmlogdate,"${lgsmlogdir}/${servicename}-script-$(date '+%Y-%m-%d-%H:%M:%S').log"
boserver,Parameter,lgsmlogdir,"${logdir}/script"
boserver,Parameter,lgsmlog,"${lgsmlogdir}/${servicename}-script.log"
boserver,Parameter,logdays,"7"
boserver,Parameter,logdir,"${rootdir}/log"
boserver,Parameter,mailgunalert,"off"
boserver,Parameter,mailgundomain,"example.com"
boserver,Parameter,mailgunemail,"email@myemail.com"
boserver,Parameter,mailgunemailfrom,"alert@example.com"
boserver,Parameter,mailguntoken,"accesstoken"
boserver,Parameter,maxbackupdays,"30"
boserver,Parameter,maxbackups,"4"
boserver,Parameter,parms,"-batchmode -nographics -dedicated -configfile=${servercfgfullpath}"
boserver,Parameter,postalert,"off"
boserver,Parameter,postdays,"7"
boserver,Parameter,postdetailslog,"${lgsmlogdir}/${servicename}-postdetails.log"
boserver,Parameter,posttarget,"https://hastebin.com"
boserver,Parameter,pushbulletalert,"off"
boserver,Parameter,pushbullettoken,"accesstoken"
boserver,Parameter,pushoveralert,"off"
boserver,Parameter,pushovertoken,"accesstoken"
boserver,Parameter,querydelay,"1"
boserver,Parameter,servercfgdefault,"config.txt"
boserver,Parameter,servercfgdir,"${systemdir}"
boserver,Parameter,servercfgfullpath,"${servercfgdir}/${servercfg}"
boserver,Parameter,servercfg,"${servicename}.txt"
boserver,Parameter,sleeptime,"0.5"
boserver,Parameter,steammaster,"false"
boserver,Parameter,stoponbackup,"on"
boserver,Parameter,systemdir,"${serverfiles}"
boserver,Parameter,telegramalert,"off"
boserver,Parameter,telegramchatid,""
boserver,Parameter,telegramtoken,"accesstoken"
boserver,Parameter,updateonstart,"off"
bsserver,Function,fn_parms,
bsserver,Parameter,alertlog,"${lgsmlogdir}/${servicename}-alert.log"
bsserver,Parameter,ansi,"on"
bsserver,Parameter,appid,"228780"
bsserver,Parameter,backupdir,"${rootdir}/backups"
bsserver,Parameter,branch,""
bsserver,Parameter,channeltag,""
bsserver,Parameter,clientport,"27005"
bsserver,Parameter,consolelog,"${consolelogdir}/${servicename}-console.log"
bsserver,Parameter,consolelogdate,"${consolelogdir}/${servicename}-console-$(date '+%Y-%m-%d-%H:%M:%S').log"
